DMY,Current_Price,Open,High,Low,Volume,% Changes
08/25/2020,"1,904.09","1,917.78","1,922.20","1,902.85",2.43B,0.03%
08/26/2020,"1,912.29","1,906.69","1,914.90","1,894.18",2.10B,0.43%
08/27/2020,"1,918.32","1,911.66","1,927.06","1,908.53",2.30B,0.32%
08/28/2020,"1,910.78","1,932.30","1,936.91","1,905.07",2.27B,-0.39%
08/31/2020,"1,888.52","1,919.92","1,927.85","1,886.20",2.41B,-1.16%
9/1/2020,"1,880.34","1,892.41","1,897.72","1,872.72",2.01B,-0.43%
9/2/2020,"1,894.66","1,877.91","1,895.66","1,871.91",1.69B,0.76%
9/3/2020,"1,888.31","1,900.53","1,904.48","1,882.24",1.67B,-0.34%
9/8/2020,"1,861.17","1,879.07","1,879.48","1,859.04",1.85B,-1.44%
9/9/2020,"1,858.80","1,836.90","1,862.52","1,832.23",2.18B,-0.13%
9/10/2020,"1,854.88","1,861.16","1,867.18","1,847.02",2.33B,-0.21%
9/11/2020,"1,837.44","1,852.30","1,862.33","1,835.72",2.68B,-0.94%
09/14/2020,"1,825.00","1,846.24","1,849.45","1,821.94",1.87B,-0.68%
09/15/2020,"1,845.89","1,832.40","1,847.62","1,826.86",2.09B,1.14%
09/16/2020,"1,857.82","1,846.75","1,861.85","1,841.76",2.26B,0.65%
09/17/2020,"1,842.24","1,849.75","1,854.63","1,835.01",2.34B,-0.84%
09/18/2020,"1,847.55","1,847.44","1,855.52","1,834.63",2.50B,0.29%
09/21/2020,"1,824.00","1,855.58","1,858.65","1,820.59",2.01B,-1.27%
09/22/2020,"1,808.85","1,817.17","1,823.01","1,800.74",1.80B,-0.83%
09/23/2020,"1,799.09","1,814.66","1,816.59","1,795.55",2.28B,-0.54%
09/24/2020,"1,768.11","1,784.38","1,791.41","1,759.95",2.51B,-1.72%
09/25/2020,"1,764.58","1,774.57","1,783.60","1,759.44",1.90B,-0.20%
09/28/2020,"1,798.11","1,774.80","1,800.43","1,774.64",1.67B,1.90%
09/29/2020,"1,785.99","1,803.62","1,805.23","1,780.56",1.66B,-0.67%
09/30/2020,"1,752.71","1,788.92","1,791.05","1,751.97",2.02B,-1.86%
10/1/2020,"1,768.87","1,765.03","1,775.37","1,745.42",2.15B,0.92%
10/2/2020,"1,746.91","1,763.51","1,764.96","1,737.49",2.29B,-1.24%
10/5/2020,"1,756.81","1,760.52","1,765.63","1,749.13",1.75B,0.57%
10/6/2020,"1,769.60","1,771.57","1,780.04","1,765.46",2.61B,0.73%
10/7/2020,"1,791.88","1,764.96","1,793.18","1,759.40",2.43B,1.26%
10/8/2020,"1,807.76","1,801.80","1,820.90","1,798.03",3.35B,0.89%
